Nro_Expediente,Fuero,Juzgado_Radicacion,Tipo_Proceso,Fecha_Inicio,Estado_Causa,Dias_Activo
96513/26,Familia,1° Juzgado de Familia,Divorcio,2026-06-02,Para Sentencia,104
39211/23,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Amparo,2023-11-25,Para Sentencia,1024
83858/26,Laboral,2° Juzgado Laboral,Hurto,2025-05-05,Resuelto,193
73711/25,Laboral,2° Juzgado Laboral,Divorcio,2025-03-14,Para Sentencia,549
63863/25,Familia,2° Juzgado de Familia,Amparo,2024-12-18,Suspendido,635
32161/23,Familia,1° Juzgado de Familia,Homicidio,2026-08-22,En Trámite,22
92463/24,"Civil, Comercial y Minería",1° Juzgado Civil,Homicidio,2025-06-12,Para Sentencia,459
98580/25,Laboral,1° Juzgado Laboral,Sucesorio,2025-10-14,Suspendido,335
82342/26,"Civil, Comercial y Minería",1° Juzgado Civil,Sucesorio,2024-03-03,Archivado,326
28455/23,Laboral,1° Juzgado Laboral,Sucesorio,2025-02-19,En Trámite,571
13599/26,"Civil, Comercial y Minería",4° Juzgado Civil,Divorcio,2025-08-28,En Trámite,381
46376/26,Familia,1° Juzgado de Familia,Sucesorio,2026-04-30,En Trámite,137
70438/23,"Civil, Comercial y Minería",2° Juzgado Civil,Hurto,2024-04-06,Para Sentencia,891
86170/26,"Civil, Comercial y Minería",2° Juzgado Civil,Daños y Perjuicios,2023-11-25,Archivado,257
80686/23,Laboral,3° Juzgado Laboral,Homicidio,2026-05-07,Suspendido,130
72274/25,"Civil, Comercial y Minería",2° Juzgado Civil,Sucesorio,2024-01-31,Resuelto,305
69809/26,Familia,2° Juzgado de Familia,Sucesorio,2024-02-23,En Trámite,934
40892/25,Laboral,1° Juzgado Laboral,Despido,2024-05-20,Resuelto,138
98353/26,Laboral,1° Juzgado Laboral,Daños y Perjuicios,2024-03-18,Para Sentencia,910
44632/24,"Civil, Comercial y Minería",3° Juzgado Civil,Divorcio,2025-10-19,Resuelto,109
23690/24,Penal (Colegio de Jueces),Sala II,Despido,2024-05-26,Resuelto,75
15166/23,Laboral,1° Juzgado Laboral,Despido,2025-07-19,Suspendido,422
43422/23,Penal (Colegio de Jueces),Sala I,Hurto,2026-01-10,Archivado,238
38845/26,Penal (Colegio de Jueces),Sala II,Amparo,2025-03-31,Archivado,179
3982/24,Laboral,2° Juzgado Laboral,Homicidio,2026-06-21,Suspendido,85
50776/24,"Civil, Comercial y Minería",4° Juzgado Civil,Divorcio,2024-05-30,Para Sentencia,837
50051/23,Familia,1° Juzgado de Familia,Daños y Perjuicios,2025-12-21,Suspendido,267
35840/24,"Civil, Comercial y Minería",4° Juzgado Civil,Amparo,2025-11-08,En Trámite,310
71783/23,"Civil, Comercial y Minería",2° Juzgado Civil,Daños y Perjuicios,2026-03-28,En Trámite,169
94756/24,"Civil, Comercial y Minería",1° Juzgado Civil,Amparo,2024-10-23,Suspendido,691
9190/24,Familia,1° Juzgado de Familia,Divorcio,2024-03-15,En Trámite,913
46784/25,Penal (Colegio de Jueces),Sala I,Daños y Perjuicios,2024-08-28,Resuelto,224
31315/24,Familia,2° Juzgado de Familia,Amparo,2025-12-02,Resuelto,284
75126/25,Familia,2° Juzgado de Familia,Sucesorio,2026-01-17,Archivado,374
99532/24,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Despido,2026-04-24,Suspendido,143
10839/25,"Civil, Comercial y Minería",3° Juzgado Civil,Divorcio,2025-04-21,Suspendido,510
31924/26,Penal (Colegio de Jueces),Sala II,Despido,2025-01-14,Resuelto,62
42202/26,Familia,2° Juzgado de Familia,Sucesorio,2025-08-23,Suspendido,387
29081/24,"Civil, Comercial y Minería",4° Juzgado Civil,Homicidio,2024-06-11,Resuelto,115
13012/26,Laboral,2° Juzgado Laboral,Amparo,2026-07-10,En Trámite,66
61214/26,"Civil, Comercial y Minería",4° Juzgado Civil,Divorcio,2025-05-08,Resuelto,218
55887/23,"Civil, Comercial y Minería",1° Juzgado Civil,Divorcio,2023-09-29,Archivado,64
89462/26,Laboral,2° Juzgado Laboral,Divorcio,2026-02-28,Suspendido,198
61980/26,"Civil, Comercial y Minería",3° Juzgado Civil,Despido,2024-07-05,Archivado,385
93926/23,Familia,2° Juzgado de Familia,Daños y Perjuicios,2025-09-27,Archivado,166
33583/23,Laboral,2° Juzgado Laboral,Despido,2026-03-12,Archivado,134
95866/25,"Civil, Comercial y Minería",3° Juzgado Civil,Sucesorio,2024-12-28,Suspendido,625
52280/25,"Civil, Comercial y Minería",1° Juzgado Civil,Amparo,2024-07-02,Suspendido,803
25505/23,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Divorcio,2023-11-11,En Trámite,1038
13818/26,Familia,1° Juzgado de Familia,Homicidio,2026-07-15,Resuelto,382
1413/25,"Civil, Comercial y Minería",2° Juzgado Civil,Homicidio,2024-03-25,Archivado,366
2671/23,Penal (Colegio de Jueces),Sala I,Despido,2025-06-24,Archivado,361
99285/24,Penal (Colegio de Jueces),Sala III,Sucesorio,2024-02-01,Para Sentencia,956
77325/25,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Hurto,2024-04-09,Archivado,302
75952/23,"Civil, Comercial y Minería",3° Juzgado Civil,Despido,2023-12-10,Suspendido,1009
4096/26,Laboral,2° Juzgado Laboral,Amparo,2024-01-24,Resuelto,239
19798/24,Familia,2° Juzgado de Familia,Homicidio,2023-11-04,Archivado,96
30621/26,Familia,2° Juzgado de Familia,Homicidio,2024-02-29,En Trámite,928
97056/23,Familia,1° Juzgado de Familia,Amparo,2025-01-10,Archivado,339
28911/25,Familia,1° Juzgado de Familia,Hurto,2026-06-14,Suspendido,91
60104/25,"Civil, Comercial y Minería",3° Juzgado Civil,Hurto,2024-05-26,Suspendido,841
55507/25,Penal (Colegio de Jueces),Sala II,Hurto,2026-03-02,Suspendido,195
97996/25,Laboral,1° Juzgado Laboral,Daños y Perjuicios,2024-03-13,Suspendido,915
38918/23,Laboral,3° Juzgado Laboral,Despido,2025-01-15,Archivado,194
27724/25,"Civil, Comercial y Minería",3° Juzgado Civil,Divorcio,2025-08-30,Resuelto,328
45516/23,Familia,1° Juzgado de Familia,Divorcio,2023-12-08,Archivado,30
34444/23,Laboral,1° Juzgado Laboral,Hurto,2025-04-10,Para Sentencia,522
54698/23,"Civil, Comercial y Minería",2° Juzgado Civil,Divorcio,2026-09-01,Para Sentencia,13
78693/25,Penal (Colegio de Jueces),Sala I,Despido,2025-06-19,En Trámite,452
59467/25,"Civil, Comercial y Minería",3° Juzgado Civil,Daños y Perjuicios,2025-06-23,Para Sentencia,448
74476/24,Laboral,1° Juzgado Laboral,Daños y Perjuicios,2024-05-14,Archivado,386
9585/26,Laboral,3° Juzgado Laboral,Divorcio,2024-12-23,Suspendido,630
19439/23,Laboral,1° Juzgado Laboral,Sucesorio,2026-03-22,Resuelto,153
78615/23,Laboral,1° Juzgado Laboral,Sucesorio,2023-10-15,Archivado,76
78814/24,Penal (Colegio de Jueces),Sala I,Sucesorio,2025-10-12,Suspendido,337
42094/26,Laboral,2° Juzgado Laboral,Divorcio,2024-08-09,En Trámite,766
72588/24,Familia,2° Juzgado de Familia,Despido,2023-10-27,Resuelto,168
17045/25,Laboral,3° Juzgado Laboral,Daños y Perjuicios,2026-06-25,En Trámite,81
64526/23,"Civil, Comercial y Minería",3° Juzgado Civil,Despido,2026-04-03,Para Sentencia,164
23563/25,Laboral,3° Juzgado Laboral,Daños y Perjuicios,2024-05-25,Archivado,301
65102/26,"Civil, Comercial y Minería",4° Juzgado Civil,Daños y Perjuicios,2025-06-22,Suspendido,449
97046/23,"Civil, Comercial y Minería",1° Juzgado Civil,Despido,2025-02-28,Suspendido,563
89209/24,Laboral,1° Juzgado Laboral,Despido,2023-10-22,Archivado,323
55787/26,"Civil, Comercial y Minería",4° Juzgado Civil,Sucesorio,2023-12-19,Resuelto,48
63883/25,"Civil, Comercial y Minería",1° Juzgado Civil,Hurto,2025-08-05,Para Sentencia,405
87624/25,Penal (Colegio de Jueces),Sala I,Hurto,2025-09-27,En Trámite,352
86373/24,Penal (Colegio de Jueces),Sala III,Sucesorio,2023-11-18,Suspendido,1030
78693/24,Laboral,1° Juzgado Laboral,Daños y Perjuicios,2026-08-25,Suspendido,20
41874/26,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Sucesorio,2025-01-20,Para Sentencia,602
84099/23,Laboral,3° Juzgado Laboral,Sucesorio,2026-02-04,Resuelto,157
52346/25,Penal (Colegio de Jueces),Sala I,Despido,2024-10-22,Resuelto,125
9870/23,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Sucesorio,2025-08-18,Para Sentencia,392
1684/25,Penal (Colegio de Jueces),Sala II,Homicidio,2025-11-09,Para Sentencia,309
33339/25,Familia,2° Juzgado de Familia,Daños y Perjuicios,2026-01-04,En Trámite,253
70954/25,"Civil, Comercial y Minería",4° Juzgado Civil,Divorcio,2025-01-03,Resuelto,47
60356/23,Familia,1° Juzgado de Familia,Sucesorio,2026-02-06,Resuelto,246
48402/26,Familia,2° Juzgado de Familia,Daños y Perjuicios,2024-05-22,Archivado,184
78898/24,Laboral,3° Juzgado Laboral,Hurto,2024-06-22,En Trámite,814
17162/24,Laboral,1° Juzgado Laboral,Amparo,2024-12-25,Resuelto,190
22782/25,Laboral,2° Juzgado Laboral,Divorcio,2025-04-27,En Trámite,505
88215/25,Laboral,2° Juzgado Laboral,Despido,2025-02-25,En Trámite,565
38445/24,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Hurto,2025-12-10,Resuelto,99
70285/24,Penal (Colegio de Jueces),Sala II,Homicidio,2026-02-21,Suspendido,205
72236/23,Laboral,2° Juzgado Laboral,Daños y Perjuicios,2025-12-04,Para Sentencia,283
64993/26,Penal (Colegio de Jueces),Sala II,Amparo,2024-02-14,Suspendido,943
63285/26,Laboral,2° Juzgado Laboral,Homicidio,2025-12-28,Resuelto,186
79214/26,Penal (Colegio de Jueces),Sala II,Daños y Perjuicios,2024-02-04,Suspendido,953
73880/26,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Amparo,2024-09-22,Suspendido,722
29330/26,Penal (Colegio de Jueces),Sala II,Despido,2026-01-10,En Trámite,247
95494/25,Penal (Colegio de Jueces),Sala II,Sucesorio,2025-05-18,Resuelto,185
86954/26,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Hurto,2025-02-06,Resuelto,222
28666/26,Laboral,3° Juzgado Laboral,Sucesorio,2024-04-23,Archivado,291
12857/24,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Sucesorio,2024-03-04,Suspendido,923
45525/24,"Civil, Comercial y Minería",2° Juzgado Civil,Sucesorio,2024-08-11,Archivado,186
63520/26,"Civil, Comercial y Minería",4° Juzgado Civil,Sucesorio,2024-06-12,En Trámite,824
82865/23,Penal (Colegio de Jueces),Sala II,Divorcio,2026-01-31,Archivado,86
38982/26,"Civil, Comercial y Minería",1° Juzgado Civil,Amparo,2023-12-22,Archivado,218
12683/24,Laboral,1° Juzgado Laboral,Amparo,2025-12-16,Para Sentencia,272
66270/23,Penal (Colegio de Jueces),Sala III,Homicidio,2026-09-01,Archivado,310
73393/25,Familia,1° Juzgado de Familia,Sucesorio,2026-08-21,Archivado,359
30743/26,Laboral,3° Juzgado Laboral,Divorcio,2024-10-19,Suspendido,695
79882/26,Familia,2° Juzgado de Familia,Sucesorio,2023-09-24,En Trámite,1085
91094/23,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Homicidio,2024-04-01,Resuelto,329
6177/25,Familia,2° Juzgado de Familia,Divorcio,2025-01-06,Resuelto,395
84260/26,"Civil, Comercial y Minería",4° Juzgado Civil,Daños y Perjuicios,2024-04-28,Suspendido,869
11806/24,"Civil, Comercial y Minería",3° Juzgado Civil,Daños y Perjuicios,2026-07-27,Para Sentencia,49
71367/25,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Despido,2024-02-28,Suspendido,929
11252/24,"Civil, Comercial y Minería",2° Juzgado Civil,Homicidio,2025-12-09,En Trámite,279
76708/24,"Civil, Comercial y Minería",4° Juzgado Civil,Hurto,2026-01-21,En Trámite,236
71411/26,Laboral,1° Juzgado Laboral,Despido,2024-02-15,En Trámite,942
71645/23,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Amparo,2026-02-17,Archivado,329
71817/26,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Homicidio,2026-07-29,Para Sentencia,47
34041/23,Familia,2° Juzgado de Familia,Amparo,2024-12-12,En Trámite,641
2891/24,Familia,1° Juzgado de Familia,Daños y Perjuicios,2024-09-12,Resuelto,387
5396/25,"Civil, Comercial y Minería",4° Juzgado Civil,Amparo,2025-01-21,Resuelto,114
73933/23,Familia,2° Juzgado de Familia,Homicidio,2026-08-16,En Trámite,29
99135/25,"Civil, Comercial y Minería",2° Juzgado Civil,Sucesorio,2025-11-01,Suspendido,317
15784/24,"Civil, Comercial y Minería",3° Juzgado Civil,Amparo,2024-07-30,Resuelto,50
71550/26,Penal (Colegio de Jueces),Sala II,Divorcio,2023-11-29,Para Sentencia,1019
1284/24,Familia,2° Juzgado de Familia,Daños y Perjuicios,2026-04-10,Para Sentencia,157
91285/26,Penal (Colegio de Jueces),Sala II,Hurto,2024-08-02,Archivado,277
91887/23,"Civil, Comercial y Minería",3° Juzgado Civil,Daños y Perjuicios,2026-01-12,Para Sentencia,245
46791/24,"Civil, Comercial y Minería",3° Juzgado Civil,Amparo,2023-10-11,Suspendido,1069
64737/24,Laboral,1° Juzgado Laboral,Despido,2025-09-09,En Trámite,370
8369/24,Familia,2° Juzgado de Familia,Amparo,2024-07-09,Para Sentencia,797
43390/26,Penal (Colegio de Jueces),Sala I,Hurto,2025-03-20,Resuelto,400
94155/26,Familia,2° Juzgado de Familia,Despido,2025-09-02,Archivado,156
83475/26,Laboral,1° Juzgado Laboral,Hurto,2024-02-01,Suspendido,956
23668/25,Penal (Colegio de Jueces),Sala II,Amparo,2025-11-25,Suspendido,293
30069/26,Laboral,1° Juzgado Laboral,Despido,2024-11-21,Archivado,262
65747/23,Penal (Colegio de Jueces),Sala III,Hurto,2024-12-24,Suspendido,629
69572/23,Familia,2° Juzgado de Familia,Homicidio,2025-01-08,En Trámite,614
11834/26,Laboral,2° Juzgado Laboral,Hurto,2024-04-28,Archivado,212
39471/23,Penal (Colegio de Jueces),Sala II,Sucesorio,2024-07-16,Resuelto,223
65600/26,Familia,2° Juzgado de Familia,Sucesorio,2025-08-05,Archivado,302
72483/24,Familia,1° Juzgado de Familia,Hurto,2024-02-26,Suspendido,931
21896/24,Penal (Colegio de Jueces),Sala II,Homicidio,2024-04-09,Suspendido,888
85521/24,Laboral,3° Juzgado Laboral,Sucesorio,2024-01-16,Archivado,115
33728/25,Laboral,1° Juzgado Laboral,Hurto,2024-12-02,En Trámite,651
98372/25,"Civil, Comercial y Minería",2° Juzgado Civil,Daños y Perjuicios,2024-06-04,Resuelto,36
54686/23,"Civil, Comercial y Minería",3° Juzgado Civil,Amparo,2024-04-16,Suspendido,881
43180/25,"Civil, Comercial y Minería",1° Juzgado Civil,Sucesorio,2023-12-11,Resuelto,236
70199/26,Laboral,1° Juzgado Laboral,Amparo,2025-03-28,Para Sentencia,535
94590/25,Laboral,1° Juzgado Laboral,Homicidio,2025-08-07,Resuelto,382
10373/23,"Civil, Comercial y Minería",4° Juzgado Civil,Sucesorio,2025-11-01,Archivado,309
70923/26,Penal (Colegio de Jueces),Sala III,Despido,2025-09-07,Archivado,293
56175/23,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Daños y Perjuicios,2024-04-24,Archivado,303
52298/26,Laboral,1° Juzgado Laboral,Hurto,2023-11-04,Archivado,249
63846/24,Familia,1° Juzgado de Familia,Hurto,2025-11-27,Archivado,104
78510/25,Penal (Colegio de Jueces),Sala I,Daños y Perjuicios,2024-07-23,En Trámite,782
65686/25,"Civil, Comercial y Minería",4° Juzgado Civil,Sucesorio,2024-10-09,Archivado,67
27621/25,Familia,2° Juzgado de Familia,Divorcio,2023-11-11,Para Sentencia,1038
85546/26,"Civil, Comercial y Minería",4° Juzgado Civil,Divorcio,2024-01-03,En Trámite,985
31603/23,"Civil, Comercial y Minería",4° Juzgado Civil,Amparo,2025-12-16,Archivado,262
65453/26,"Civil, Comercial y Minería",4° Juzgado Civil,Hurto,2024-05-15,Para Sentencia,852
91695/24,Familia,1° Juzgado de Familia,Sucesorio,2024-04-05,Resuelto,331
32085/24,Laboral,2° Juzgado Laboral,Divorcio,2024-07-25,Suspendido,781
90229/26,Familia,1° Juzgado de Familia,Sucesorio,2023-12-02,En Trámite,1017
21089/25,Laboral,1° Juzgado Laboral,Hurto,2025-06-29,Para Sentencia,442
67538/23,Laboral,1° Juzgado Laboral,Sucesorio,2024-11-05,Archivado,96
65602/24,Laboral,2° Juzgado Laboral,Hurto,2024-06-07,Resuelto,117
60456/23,Laboral,3° Juzgado Laboral,Daños y Perjuicios,2025-08-19,En Trámite,391
67568/23,Penal (Colegio de Jueces),Sala II,Amparo,2024-09-02,Para Sentencia,742
84061/23,"Civil, Comercial y Minería",4° Juzgado Civil,Daños y Perjuicios,2025-01-28,Suspendido,594
17165/24,"Civil, Comercial y Minería",4° Juzgado Civil,Hurto,2026-05-15,Para Sentencia,122
6036/23,Penal (Colegio de Jueces),Sala I,Amparo,2025-05-30,Archivado,94
54384/26,"Civil, Comercial y Minería",1° Juzgado Civil,Daños y Perjuicios,2026-02-14,Resuelto,107
85776/26,Laboral,1° Juzgado Laboral,Divorcio,2023-12-01,Para Sentencia,1018
8644/26,Laboral,2° Juzgado Laboral,Homicidio,2024-07-15,Archivado,85
44389/24,Laboral,3° Juzgado Laboral,Despido,2024-10-13,Resuelto,141
87441/23,Penal (Colegio de Jueces),Sala I,Despido,2024-09-20,Para Sentencia,724
44186/23,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Daños y Perjuicios,2024-11-22,Resuelto,78
22942/26,Familia,1° Juzgado de Familia,Homicidio,2025-12-08,Para Sentencia,280
18447/23,Laboral,1° Juzgado Laboral,Sucesorio,2025-01-02,Archivado,190
85112/24,Laboral,3° Juzgado Laboral,Homicidio,2024-09-19,Resuelto,290
37373/24,Familia,1° Juzgado de Familia,Despido,2026-06-17,En Trámite,89
92562/26,"Civil, Comercial y Minería",4° Juzgado Civil,Sucesorio,2025-05-16,En Trámite,486
74531/25,"Civil, Comercial y Minería",1° Juzgado Civil,Divorcio,2026-03-01,Para Sentencia,197
72905/25,"Civil, Comercial y Minería",2° Juzgado Civil,Divorcio,2024-08-28,En Trámite,747
76754/26,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Amparo,2026-05-29,Resuelto,143
1136/23,Familia,1° Juzgado de Familia,Sucesorio,2024-02-07,Para Sentencia,950
35353/23,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Amparo,2025-09-16,En Trámite,363
76691/24,Laboral,2° Juzgado Laboral,Homicidio,2024-01-01,Resuelto,395
24748/26,Laboral,2° Juzgado Laboral,Despido,2023-12-10,Para Sentencia,1009
39724/23,Laboral,2° Juzgado Laboral,Daños y Perjuicios,2024-07-13,Para Sentencia,793
59185/25,Laboral,1° Juzgado Laboral,Divorcio,2024-05-22,Para Sentencia,845
94317/23,Penal (Colegio de Jueces),Sala II,Divorcio,2025-01-07,En Trámite,614
19712/24,"Civil, Comercial y Minería",3° Juzgado Civil,Sucesorio,2023-10-16,Archivado,88
48766/24,Laboral,3° Juzgado Laboral,Hurto,2025-08-25,Para Sentencia,385
41845/25,Laboral,1° Juzgado Laboral,Divorcio,2024-01-11,En Trámite,977
79871/26,Familia,1° Juzgado de Familia,Amparo,2025-03-14,Resuelto,274
24654/25,"Civil, Comercial y Minería",4° Juzgado Civil,Hurto,2024-01-12,Archivado,268
56110/23,Laboral,1° Juzgado Laboral,Hurto,2024-02-15,Archivado,226
68768/25,Laboral,3° Juzgado Laboral,Amparo,2025-05-21,Suspendido,481
75644/26,Laboral,3° Juzgado Laboral,Homicidio,2024-11-03,Para Sentencia,680
90427/23,Familia,2° Juzgado de Familia,Homicidio,2025-06-22,Para Sentencia,449
82176/23,Penal (Colegio de Jueces),Sala I,Sucesorio,2026-03-17,En Trámite,181
54115/24,Laboral,3° Juzgado Laboral,Daños y Perjuicios,2026-07-07,Resuelto,364
18690/25,Laboral,2° Juzgado Laboral,Despido,2026-03-28,Para Sentencia,170
12643/26,"Civil, Comercial y Minería",2° Juzgado Civil,Hurto,2026-05-11,Para Sentencia,126
27570/23,"Civil, Comercial y Minería",1° Juzgado Civil,Amparo,2025-12-10,Resuelto,120
46564/23,Laboral,1° Juzgado Laboral,Amparo,2026-04-25,Para Sentencia,142
76733/25,Familia,2° Juzgado de Familia,Divorcio,2025-06-17,Resuelto,194
41501/24,"Civil, Comercial y Minería",1° Juzgado Civil,Despido,2026-05-23,En Trámite,114
54816/26,"Civil, Comercial y Minería",1° Juzgado Civil,Despido,2025-06-13,Suspendido,457
60700/26,"Civil, Comercial y Minería",4° Juzgado Civil,Daños y Perjuicios,2026-06-28,Para Sentencia,78
98665/25,"Civil, Comercial y Minería",4° Juzgado Civil,Daños y Perjuicios,2024-03-02,Archivado,368
64764/25,"Civil, Comercial y Minería",4° Juzgado Civil,Daños y Perjuicios,2025-09-30,En Trámite,348
54366/23,Penal (Colegio de Jueces),Sala I,Daños y Perjuicios,2025-07-19,Suspendido,422
14766/23,Laboral,2° Juzgado Laboral,Despido,2025-03-06,En Trámite,557
69854/24,Penal (Colegio de Jueces),Sala III,Daños y Perjuicios,2024-09-05,Archivado,54
20349/26,"Civil, Comercial y Minería",4° Juzgado Civil,Despido,2024-05-07,Resuelto,96
10118/25,Laboral,2° Juzgado Laboral,Daños y Perjuicios,2025-08-20,Suspendido,390
83259/26,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Homicidio,2026-03-16,Suspendido,182
61464/25,Penal (Colegio de Jueces),Sala I,Despido,2024-06-22,En Trámite,814
75607/25,Familia,2° Juzgado de Familia,Despido,2025-12-06,Suspendido,282
80457/23,"Civil, Comercial y Minería",4° Juzgado Civil,Despido,2026-08-09,Archivado,357
30116/23,Penal (Colegio de Jueces),Sala II,Amparo,2026-07-29,Archivado,104
83529/26,Familia,1° Juzgado de Familia,Daños y Perjuicios,2024-12-27,En Trámite,626
1308/25,Penal (Colegio de Jueces),Sala I,Daños y Perjuicios,2025-02-16,Archivado,264
69807/25,Laboral,3° Juzgado Laboral,Homicidio,2024-05-08,Para Sentencia,859
48773/23,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Sucesorio,2026-02-01,Para Sentencia,225
52878/24,Laboral,3° Juzgado Laboral,Sucesorio,2024-06-13,Para Sentencia,823
45052/25,"Civil, Comercial y Minería",4° Juzgado Civil,Daños y Perjuicios,2026-05-22,Para Sentencia,115
79065/23,"Civil, Comercial y Minería",2° Juzgado Civil,Divorcio,2025-12-29,Resuelto,223
14534/26,Familia,2° Juzgado de Familia,Homicidio,2026-01-03,Resuelto,367
55552/26,Laboral,3° Juzgado Laboral,Despido,2024-03-14,Archivado,366
85972/26,Laboral,1° Juzgado Laboral,Divorcio,2025-10-29,Para Sentencia,320
56266/24,Penal (Colegio de Jueces),Sala I,Homicidio,2023-10-23,Archivado,139
6117/24,Familia,2° Juzgado de Familia,Divorcio,2024-04-09,Para Sentencia,888
99789/23,Familia,2° Juzgado de Familia,Amparo,2024-05-13,Para Sentencia,854
28350/25,Familia,1° Juzgado de Familia,Despido,2025-11-07,Para Sentencia,311
75342/24,"Civil, Comercial y Minería",4° Juzgado Civil,Despido,2024-05-22,En Trámite,845
18658/24,Familia,1° Juzgado de Familia,Hurto,2026-05-07,En Trámite,129
9975/25,Penal (Colegio de Jueces),Sala I,Homicidio,2024-09-05,Suspendido,739
24908/26,Familia,1° Juzgado de Familia,Divorcio,2026-09-03,Resuelto,212
61027/26,"Civil, Comercial y Minería",4° Juzgado Civil,Hurto,2026-01-22,Archivado,387
65039/23,Laboral,2° Juzgado Laboral,Despido,2025-11-08,En Trámite,310
16099/23,Penal (Colegio de Jueces),Sala II,Homicidio,2023-10-20,Archivado,273
90207/26,Laboral,2° Juzgado Laboral,Homicidio,2025-10-04,Archivado,266
95346/24,Laboral,2° Juzgado Laboral,Amparo,2025-12-12,En Trámite,276
30400/25,Penal (Colegio de Jueces),Sala II,Despido,2023-12-09,Suspendido,1010
46029/23,Familia,1° Juzgado de Familia,Homicidio,2025-03-26,En Trámite,537
54753/25,"Civil, Comercial y Minería",2° Juzgado Civil,Daños y Perjuicios,2023-12-22,Archivado,230
19127/26,Penal (Colegio de Jueces),Sala III,Daños y Perjuicios,2026-03-10,Para Sentencia,188
15338/25,Familia,2° Juzgado de Familia,Hurto,2024-01-30,Suspendido,958
47409/26,"Civil, Comercial y Minería",2° Juzgado Civil,Divorcio,2024-01-27,Archivado,57
58111/23,Laboral,2° Juzgado Laboral,Sucesorio,2025-05-10,En Trámite,492
10048/23,Familia,1° Juzgado de Familia,Daños y Perjuicios,2025-12-03,Resuelto,344
30697/23,Penal (Colegio de Jueces),Sala II,Daños y Perjuicios,2025-03-16,Suspendido,547
43026/23,Penal (Colegio de Jueces),Sala I,Sucesorio,2024-04-12,Suspendido,885
85315/26,Laboral,3° Juzgado Laboral,Hurto,2024-07-02,Resuelto,117
3891/25,"Civil, Comercial y Minería",1° Juzgado Civil,Daños y Perjuicios,2025-11-06,Para Sentencia,312
56816/23,Laboral,2° Juzgado Laboral,Daños y Perjuicios,2024-02-28,Archivado,315
83840/24,Familia,2° Juzgado de Familia,Daños y Perjuicios,2025-04-19,Para Sentencia,513
48019/26,Penal (Colegio de Jueces),Sala I,Amparo,2026-08-23,Resuelto,31
8693/25,Penal (Colegio de Jueces),Sala III,Sucesorio,2025-03-01,Para Sentencia,562
20739/26,"Civil, Comercial y Minería",3° Juzgado Civil,Hurto,2025-11-26,Para Sentencia,292
97944/25,Familia,2° Juzgado de Familia,Homicidio,2026-07-02,En Trámite,74
15049/26,"Civil, Comercial y Minería",2° Juzgado Civil,Homicidio,2025-04-29,Archivado,360
85133/24,Laboral,3° Juzgado Laboral,Homicidio,2024-08-17,Para Sentencia,758
48801/25,Laboral,3° Juzgado Laboral,Homicidio,2026-02-15,Para Sentencia,211
41759/23,Laboral,3° Juzgado Laboral,Despido,2024-11-28,Resuelto,129
28385/25,Laboral,2° Juzgado Laboral,Daños y Perjuicios,2025-06-13,Suspendido,458
48893/24,Laboral,3° Juzgado Laboral,Sucesorio,2024-04-22,Suspendido,875
12671/23,Penal (Colegio de Jueces),Sala II,Divorcio,2026-02-27,Suspendido,199
68200/23,Laboral,1° Juzgado Laboral,Sucesorio,2024-04-20,Archivado,170
86534/24,Laboral,1° Juzgado Laboral,Despido,2026-01-17,Resuelto,109
97731/23,Familia,1° Juzgado de Familia,Daños y Perjuicios,2025-10-16,Suspendido,333
19307/24,Laboral,1° Juzgado Laboral,Hurto,2026-01-04,En Trámite,253
55632/26,"Civil, Comercial y Minería",1° Juzgado Civil,Sucesorio,2026-02-21,Suspendido,205
87811/23,"Civil, Comercial y Minería",1° Juzgado Civil,Daños y Perjuicios,2024-12-21,Archivado,65
4574/26,Penal (Colegio de Jueces),Sala III,Divorcio,2024-12-04,Suspendido,649
75495/24,Penal (Colegio de Jueces),Sala III,Amparo,2024-01-04,Archivado,135
84158/26,Penal (Colegio de Jueces),Unidad Conclusiva de Causas,Sucesorio,2026-06-14,En Trámite,91
35602/24,Familia,2° Juzgado de Familia,Sucesorio,2024-05-21,Resuelto,192
26205/24,Laboral,2° Juzgado Laboral,Amparo,2025-03-18,Para Sentencia,545
